title,start_dt_local,start_date,venue,city,state,country,price_min,price_max,place,price
Armaan Malik - Live in Mumbai,2025-11-01 19:00,2025-11-01,,,,,10000,10000,,10000
Ayushyawar Bolu Kahi,2025-11-22 20:30,2025-11-22,,,,,500,500,,500
Banger Issues ft. Kaustubh Agrawal,2025-10-03 20:00,2025-10-03,,,,,699,699,,699
BVLGARI SERPENTI INFINITO EXHIBITION,2025-10-07 16:30,2025-10-07,,,,,0,0,,0
The Karaoke Party Room,2025-10-08 13:00,2025-10-08,,,,,100,100,,100
Coil Pottery,2025-10-26 13:00,2025-10-26,,,,,1499,1499,,1499
"The J Spot, Juhu comedy-shows Mumbai - BookMyShow",,,,,,,,,,
Crochet Workshop,2025-10-04 13:00,2025-10-04,,,,,999,999,,999
Dastaan-e-Akhtari - A Tribute to Begum Akhtar,2025-10-04 18:30,2025-10-04,,,,,499,499,,499
Dhak Dhak - A Storytelling Special (Mumbai) performances Event Tickets Mumbai - BookMyShow,,,,,,,,,,
Hariharan Live in Mumbai,2025-12-05 19:30,2025-12-05,,,,,699,699,,699
FESTUS LIVE with RAJAT SOOD,2025-10-25 19:00,2025-10-25,,,,,699,699,,699
Fluid Art Workshop,2025-10-04 15:00,2025-10-04,,,,,1599,1599,,1599
India's Biggest Halloween Ft. Talwiinder - Mumbai,2025-10-31 19:00,2025-10-31,,,,,2000,2000,,2000
Infinity Mirrored Room,2025-10-14 14:30,2025-10-14,,,,,100,100,,100
Jon Batiste - The Maestro Series - Mumbai,2025-11-26 20:00,2025-11-26,,,,,7000,7000,,7000
Kids Time Vacation Time (2 Days),2025-10-25 10:00,2025-10-25,,,,,5450,5450,,5450
The Cry Club,2025-10-02 17:35,2025-10-02,,,,,499,499,,499
Lollapalooza India 2026,2026-01-24 14:00,2026-01-24,,,,,29999,29999,,29999
Manik Swar Shatabdi Mahotsav,2025-10-10 20:00,2025-10-10,,,,,1000,1000,,1000
Masoom Vichar,2025-10-05 16:00,2025-10-05,,,,,399,399,,399
Max Amini - Mumbai,2025-11-28 20:00,2025-11-28,,,,,4999,4999,,4999
Meera - The Mystic by Shama Bhate,2025-11-08 19:30,2025-11-08,,,,,11000,11000,,11000
Mehfil - E - Sufi with Deedar Kaur,2025-10-24 20:00,2025-10-24,,,,,750,750,,750
Midnight All Stars,2025-10-11 23:59,2025-10-11,,,,,499,499,,499
Ministry of Jokes comedy-shows Mumbai - BookMyShow,,,,,,,,,,
Mumbai Stand-Up Open Mic,2025-10-12 19:00,2025-10-12,,,,,199,199,,199
My First Shot by Airsoft India Sports Arena,2025-10-02 19:00,2025-10-02,,,,,200,200,,200
Mystery Monday ft Aakash Mehta,2025-10-27 22:00,2025-10-27,,,,,399,399,,399
NCPA Umang: Mohiniattam - Kuchipudi & Chhau,2025-10-10 18:30,2025-10-10,,,,,0,0,,0
"Newscaustic - Let's Roast, with Cyrus Broacha",2025-10-04 18:00,2025-10-04,,,,,750,750,,750
Nishant Suri Live - Stand Up Comedy Solo,2025-10-19 19:00,2025-10-19,,,,,799,799,,799
"Nita Mukesh Ambani Cultural Centre (NMACC) exhibitions,music-shows,performances Mumbai - BookMyShow",,,,,,,,,,
Noor-E-Ishq: Songs of the Soul by Harshdeep Kaur,2025-11-15 19:30,2025-11-15,,,,,16000,16000,,16000
Paradox Museum,2025-10-28 14:00,2025-10-28,,,,,649,649,,649
Phack You Avacado by Siddhartha Shetty,2025-10-04 19:00,2025-10-04,,,,,799,799,,799
Pottery Workshop,2025-10-05 15:00,2025-10-05,,,,,999,999,,999
Raag Samvaad by Pt Venkatesh Kumar,2025-10-16 20:00,2025-10-16,,,,,750,750,,750
Rambo Circus - Borivali,2025-11-29 19:00,2025-11-29,,,,,826,826,,826
"Rambo Circus - Group Page kids,performances Mumbai - BookMyShow",,,,,,,,,,
Rangai's Rangat Rangli Diwali,2025-10-19 7:00,2025-10-19,,,,,500,500,,500
Roasting Relationships - The stand up comedy show,2025-10-01 16:00,2025-10-01,,,,,249,249,,249
Sunday open mic,2025-10-12 17:00,2025-10-12,,,,,99,99,,99
Perfume Making,2025-10-11 15:00,2025-10-11,,,,,1799,1799,,1799
Screen Film Club - Humans in the Loop,2025-10-06 18:30,2025-10-06,,,,,0,0,,0
Scratch Pottery,2025-10-04 14:30,2025-10-04,,,,,699,699,,699
DIWALI PAHAT SHANTA SHELKE-ATHVANINCHE LAKSHA DIVE,2025-10-22 6:30,2025-10-22,,,,,400,400,,400
Strangers Meet,2025-10-05 17:30,2025-10-05,,,,,499,499,,499
Sorabh Pant Live in Navi Mumbai at One Life HQ,2025-10-11 19:30,2025-10-11,,,,,699,699,,699
Spoiler Alert - Standup Comedy by Anshu Mor,2025-10-04 18:00,2025-10-04,,,,,799,799,,799
Sunburn Arena Ft. Francis Mercier - Mumbai,2025-10-10 19:00,2025-10-10,,,,,14000,14000,,14000
Sunburn Festival 2025,2025-12-19 14:00,2025-12-19,,,,,50000,50000,,50000
DIWALI PAHAT SWAR ASHA,2025-10-23 6:30,2025-10-23,,,,,200,200,,200
TECHNONIGHT POOL PARTY,2025-10-18 19:00,2025-10-18,,,,,2000,2000,,2000
THE FOLK AAKHYAN,2025-11-02 18:00,2025-11-02,,,,,999,999,,999
The Lavari Show,2025-11-21 20:45,2025-11-21,,,,,299,299,,299
TOXIC - Abhishek Upmanyu Live,2025-10-11 21:15,2025-10-11,,,,,999,999,,999
Travis Scott: Circus Maximus Stadium Tour - India,2025-10-18 17:00,2025-10-18,,,,,3500,3500,,3500
Sundeep Sharma Trial Show,2025-10-02 20:30,2025-10-02,,,,,499,499,,499
Umang Utsav Navratri 2025,2025-09-30 19:00,2025-09-30,,,,,799,799,,799
Vipul Goyal UNLEASHED!,2025-10-25 18:00,2025-10-25,,,,,1199,1199,,1199
Voices of Hope,2025-10-25 17:00,2025-10-25,,,,,500,500,,500
Well Trained - Stand Up Comedy By Atul Khatri,2025-10-05 16:00,2025-10-05,,,,,499,499,,499
Movie Tickets Online Booking & Showtimes near you in India - BookMyShow,,,,,,,,,,
3D Stone Art,2025-11-01 16:00,2025-11-01,,,,,799,799,,799
AP Dhillon: One Of One Tour -  Ahmedabad,2025-12-05 18:30,2025-12-05,,,,,590000,590000,,590000
Boho Texture Art,2025-11-15 16:00,2025-11-15,,,,,1499,1499,,1499
Bottle Painting,2025-11-30 16:00,2025-11-30,,,,,1499,1499,,1499
DIY Fridge Charms,2025-11-16 16:00,2025-11-16,,,,,1499,1499,,1499
Dot Mandala Art,2025-11-08 16:00,2025-11-08,,,,,799,799,,799
Gaurav Kapoor LIVE,2025-10-04 19:00,2025-10-04,,,,,899,899,,899
Gen WHY: A Millennial Spiral by Swati Sachdeva,2025-10-10 20:00,2025-10-10,,,,,699,699,,699
Kaam Chalu Che Gujarati Standup comedy by Raghav,2025-10-04 18:00,2025-10-04,,,,,599,599,,599
Kanan Gill Live,2026-03-15 20:00,2026-03-15,,,,,799,799,,799
Kids Chess Championship (Online),2025-10-25 20:30,2025-10-25,,,,,444,444,,444
KUMAR SANU LIVE IN CONCERT -  AHMEDABAD,2025-11-15 19:00,2025-11-15,,,,,5999,5999,,5999
Ladies Aadami By Vivek Samtani,2025-11-01 20:00,2025-11-01,,,,,899,899,,899
LinkedIn Park: Standup Comedy by Harshit Mahawar,2025-10-04 18:00,2025-10-04,,,,,299,299,,299
LOUD MIC - COMEDY OPEN MIC,2025-10-02 21:30,2025-10-02,,,,,99,99,,99
Marwadi Dreams- Standup Comedy by Mayank Parakh,2025-10-05 19:00,2025-10-05,,,,,799,799,,799
MELANGE,2025-10-03 20:30,2025-10-03,,,,,699,699,,699
Naram lehja by Kanha Kamboj,2025-10-25 18:00,2025-10-25,,,,,399,399,,399
Papa Yaar by Zakir Khan,2025-10-24 20:00,2025-10-24,,,,,3499,3499,,3499
Pencil Power Drawing Competition (PPDC) - Online,2025-11-20 17:30,2025-11-20,,,,,270,270,,270
Make Your Own Perfume,2025-10-08 14:30,2025-10-08,,,,,1399,1399,,1399
Practice Darbar - Standup Trial by Chirayu Mistry,2025-11-16 18:00,2025-11-16,,,,,250,250,,250
PS - I Love You By Pranav Sharma,2025-10-03 17:00,2025-10-03,,,,,799,799,,799
Rage Therapy,2025-10-16 15:00,2025-10-16,,,,,899,899,,899
Rajat Sood Live,2025-10-05 18:00,2025-10-05,,,,,499,499,,499
Re:Sound with Lucky Ali - Ahmedabad,2025-12-20 19:00,2025-12-20,,,,,4499,4499,,4499
Solve Rubik' Cube in 6 Steps!,2025-10-05 14:00,2025-10-05,,,,,500,500,,500
Satrangi Re by Sonu Nigam - Ahmedabad,2025-12-21 19:30,2025-12-21,,,,,3999,3999,,3999
Senti Mat Ho Yar Ft. Aaket Panchal,2025-10-11 20:00,2025-10-11,,,,,99,99,,99
Shabad by Hardik Dave,2025-10-04 20:30,2025-10-04,,,,,999,999,,999
Shamik Chakrabarti Live,2025-10-05 19:00,2025-10-05,,,,,799,799,,799
Book Meet up - BYOB,2025-10-05 18:00,2025-10-05,,,,,399,399,,399
Single's Meetup,2025-10-22 19:00,2025-10-22,,,,,399,399,,399
