event_id,title,url,start_dt_iso,start_date,start_time,segment,genre,subgenre,price_min,price_max,currency,venue,city,state,country,lat,lon,source,raw_market,start_ts,price_use
16d7ZbS39G7MPwC,Visites Guidées Centre Bell - Bell Centre,https://www.ticketmaster.ca/visites-guidees-centre-bell-bell-centre-montreal-quebec-11-07-2025/event/3100633497DE5C8E,2025-11-08T04:59:00Z,2025-11-07,23:59:00,Miscellaneous,Undefined,Undefined,,,,Centre Bell,Montreal,QC,CA,45.49612900,-73.57047200,ticketmaster,,2025-11-08 04:59:00+00:00,
1Ae0ZbVGkHw9OVU,World Famous Fridays (Rap Night) - Free RSVP,https://www.ticketweb.ca/event/world-famous-fridays-rap-night-commonwealth-bar-stage-tickets/14625573?REFERRAL_ID=tmfeed,2025-11-08T05:00:00Z,2025-11-07,22:00:00,Music,Dance/Electronic,Witchstep,,,,Commonwealth Bar,Calgary,AB,CA,51.04357100,-114.07829800,ticketmaster,,2025-11-08 05:00:00+00:00,
1AtZkGUGkdMSsl7,Stacked Pres. Mitis (Calgary),https://www.ticketweb.ca/event/stacked-pres-mitis-calgary-the-palace-theatre-tickets/14575933?REFERRAL_ID=tmfeed,2025-11-08T05:00:00Z,2025-11-07,22:00:00,Music,Dance/Electronic,Witchstep,,,,The Palace Theatre,Calgary,AB,CA,51.04563260,-114.06709850,ticketmaster,,2025-11-08 05:00:00+00:00,
rZ7HnEZ1Af_oGN,LKFortune,https://www.ticketweb.ca/event/lkfortune-fortune-sound-club-tickets/14651323,2025-11-08T06:00:00Z,2025-11-07,22:00:00,Miscellaneous,,,16.91,16.91,CAD,Fortune Sound Club,Vancouver,BC,CA,49.280528,-123.100751,ticketmaster,,2025-11-08 06:00:00+00:00,16.91
15e0ZbwON_erk,Stacked Pres: Jessica Audiffred (Van),https://www.ticketweb.ca/event/stacked-pres-jessica-audiffred-van-celebrities-nightclub-tickets/14546893?REFERRAL_ID=tmfeed,2025-11-08T06:00:00Z,2025-11-07,22:00:00,Music,Dance/Electronic,Witchstep,,,,Celebrities,Vancouver,BC,CA,49.27967200,-123.13029300,ticketmaster,,2025-11-08 06:00:00+00:00,
1718vxG620FA-po,Gee Lee,https://www.ticketweb.ca/event/gee-lee-fortune-sound-club-tickets/13912304?REFERRAL_ID=tmfeed,2025-11-08T06:00:00Z,2025-11-07,22:00:00,Music,Dance/Electronic,Witchstep,,,,Fortune Sound Club,Vancouver,BC,CA,49.28051970,-123.10073820,ticketmaster,,2025-11-08 06:00:00+00:00,
1Ae0ZbYGkY7DY0W,Stacked Pres: Bullet Tooth (Vancouver),https://www.ticketweb.ca/event/stacked-pres-bullet-tooth-vancouver-industrial-236-tickets/13947594?REFERRAL_ID=tmfeed,2025-11-08T06:00:00Z,2025-11-07,22:00:00,Music,Dance/Electronic,Witchstep,,,,Industrial 236,Vancouver,BC,CA,,,ticketmaster,,2025-11-08 06:00:00+00:00,
Z7r9jZ1A7jxGf,Totally Enormous Extinct Dinosaurs,https://www.ticketmaster.com/event/Z7r9jZ1A7jxGf,2025-11-08T06:00:00Z,2025-11-07,22:00:00,Music,Other,Other,,,,Fortune Sound Club,Vancouver,BC,CA,0,0,ticketmaster,,2025-11-08 06:00:00+00:00,
rZ7HnEZ1Af_paS,[KPOP & EDM] 2 rooms party,https://www.ticketweb.ca/event/kpop-edm-2-rooms-the-pearl-tickets/14656273,2025-11-08T07:00:00Z,2025-11-07,23:00:00,Music,Dance/Electronic,Dance/Electronic,17.5,17.5,CAD,The Pearl,Vancouver,BC,CA,49.280658,-123.121407,ticketmaster,,2025-11-08 07:00:00+00:00,17.5
1Ae0ZbwGkluUs9M,Casa Loma General Admission,https://www.ticketweb.ca/event/casa-loma-general-admission-casa-loma-tickets/14551213?REFERRAL_ID=tmfeed,2025-11-08T14:30:00Z,2025-11-08,09:30:00,Miscellaneous,Undefined,Undefined,,,,Casa Loma,Toronto,ON,CA,43.67813770,-79.40961500,ticketmaster,,2025-11-08 14:30:00+00:00,
LvZ18QGB4A12gTZZvkKDs,DARKFIELD: SÉANCE | TORONTO,https://www.universe.com/events/darkfield-seance-toronto-tickets-51NJ8D?ref=ticketmaster,2025-11-08T17:00:00Z,2025-11-08,12:00:00,Arts & Theatre,Multimedia,Multimedia,,,,STACKT Market,Toronto,ON,CA,43.64095700,-79.40217000,ticketmaster,,2025-11-08 17:00:00+00:00,
LvZ18QGBq_Q2gTZZvkftU,DARKFIELD: FLIGHT | TORONTO,https://www.universe.com/events/darkfield-flight-toronto-tickets-BZ3WQG?ref=ticketmaster,2025-11-08T17:10:00Z,2025-11-08,12:10:00,Arts & Theatre,Multimedia,Multimedia,,,,STACKT Market,Toronto,ON,CA,43.64095700,-79.40217000,ticketmaster,,2025-11-08 17:10:00+00:00,
LvZ18QGB4A12gTZZvkKDw,DARKFIELD: SÉANCE | TORONTO,https://www.universe.com/events/darkfield-seance-toronto-tickets-51NJ8D?ref=ticketmaster,2025-11-08T17:30:00Z,2025-11-08,12:30:00,Arts & Theatre,Multimedia,Multimedia,,,,STACKT Market,Toronto,ON,CA,43.64095700,-79.40217000,ticketmaster,,2025-11-08 17:30:00+00:00,
LvZ18QGBq_Q2gTZZvkftM,DARKFIELD: FLIGHT | TORONTO,https://www.universe.com/events/darkfield-flight-toronto-tickets-BZ3WQG?ref=ticketmaster,2025-11-08T17:40:00Z,2025-11-08,12:40:00,Arts & Theatre,Multimedia,Multimedia,,,,STACKT Market,Toronto,ON,CA,43.64095700,-79.40217000,ticketmaster,,2025-11-08 17:40:00+00:00,
1k7Zv-OzGA23Zm0,Championship Show Jumping/K9 Demo/Pony Racing,https://www.ticketmaster.ca/championship-show-jumpingk9-demopony-racing-toronto-ontario-11-08-2025/event/100061838F480BA4,2025-11-08T18:00:00Z,2025-11-08,13:00:00,Sports,Equestrian,Equestrian,,,,Coca-Cola Coliseum,Toronto,ON,CA,43.63509680,-79.41572430,ticketmaster,,2025-11-08 18:00:00+00:00,
LvZ18QGB4A12gTZZvkKDS,DARKFIELD: SÉANCE | TORONTO,https://www.universe.com/events/darkfield-seance-toronto-tickets-51NJ8D?ref=ticketmaster,2025-11-08T18:00:00Z,2025-11-08,13:00:00,Arts & Theatre,Multimedia,Multimedia,,,,STACKT Market,Toronto,ON,CA,43.64095700,-79.40217000,ticketmaster,,2025-11-08 18:00:00+00:00,
17G8vxG6unJDeRy,Mrs. Doubtfire,https://www.ticketmaster.ca/mrs-doubtfire-ottawa-ontario-11-08-2025/event/310062DAA6EC2BF9,2025-11-08T18:00:00Z,2025-11-08,13:00:00,Arts & Theatre,Theatre,Musical,,,,National Arts Centre / Centre national des Arts,Ottawa,ON,CA,45.42323700,-75.69222800,ticketmaster,,2025-11-08 18:00:00+00:00,
